user_id,MONTH,YEAR,distance,COUNT
325066,10,2015,640,1
325067,10,2015,110,1
325067,11,2015,80,1
325075,11,2015,184,2
325082,10,2015,256,1
325083,10,2015,480,1
325084,10,2015,56,1
325087,10,2015,64,1
325094,10,2015,640,1
325100,11,2015,23,1
325104,10,2015,64,1
325107,10,2015,136,1
325109,11,2015,2681,1
325121,10,2015,416,1
325126,10,2015,240,1
325131,10,2015,416,1
325136,10,2015,240,2
325153,10,2015,64,1
325158,10,2015,285,1
325161,11,2015,176,2
325161,12,2015,620,1
325165,10,2015,624,1
325165,11,2015,624,1
325186,10,2015,276,1
325192,10,2015,333,1
325220,10,2015,618,2
325242,10,2015,294,1
325242,11,2015,202,1
325261,10,2015,606,1
325268,10,2015,24,1
325291,10,2015,88,1
325296,10,2015,80,1
325316,10,2015,80,1
325317,10,2015,2800,2
325323,11,2015,88,1
325328,10,2015,520,1
325359,12,2015,86,1
325369,10,2015,3120,1
325371,10,2015,264,1
325381,10,2015,86,1
325390,10,2015,264,1
325422,11,2015,589,3
325428,10,2015,8,1
325429,10,2015,540,1
325429,11,2015,3000,5
325429,12,2015,610,1
325433,10,2015,320,1
325446,11,2015,95,1
325454,10,2015,1815,2
325507,10,2015,218,1
325508,10,2015,415,1
325515,10,2015,124,1
325528,12,2015,138,1
325561,10,2015,185,1
325578,10,2015,718,4
325578,11,2015,2969,3
325582,11,2015,90,1
325588,10,2015,240,1
325598,10,2015,346,5
325598,11,2015,1362,11
325599,11,2015,62,1
325604,10,2015,144,1
325611,10,2015,104,1
325624,10,2015,104,1
325628,10,2015,28,1
325629,10,2015,480,1
325632,10,2015,224,1
325645,10,2015,480,1
325646,10,2015,416,1
325648,10,2015,480,1
325651,10,2015,288,1
325656,11,2015,184,2
325661,10,2015,160,1
325663,10,2015,480,1
325665,10,2015,320,1
325669,10,2015,141,1
325669,12,2015,282,2
325672,10,2015,88,1
325673,10,2015,656,1
325674,11,2015,240,2
325674,12,2015,820,5
325681,10,2015,1300,1
325688,10,2015,224,1
325690,10,2015,88,1
325691,11,2015,296,1
325696,10,2015,240,1
325698,10,2015,240,1
325699,11,2015,240,1
325701,11,2015,88,1
325702,10,2015,104,1
325703,10,2015,896,2
325705,10,2015,240,1
325709,10,2015,296,1
325711,10,2015,416,1
325712,10,2015,240,1
325715,11,2015,480,2
325720,10,2015,240,1
325726,10,2015,128,1
325726,12,2015,320,2
325731,10,2015,240,1
325733,10,2015,656,1
325736,10,2015,480,1
325739,10,2015,240,1
325742,10,2015,56,1
325744,10,2015,288,1
